Entrez ID,Phenotype
35,"['Fatty acid degradation', 'Valine, leucine and isoleucine degradation', 'beta-Alanine metabolism', 'Propanoate metabolism', 'Butanoate metabolism', 'Metabolic pathways', 'Carbon metabolism', 'Fatty acid metabolism']"
36,"['Fatty acid degradation', 'Valine, leucine and isoleucine degradation', 'Metabolic pathways', 'Fatty acid metabolism']"
37,"['Fatty acid degradation', 'Metabolic pathways', 'Fatty acid metabolism', 'Alcoholic liver disease']"
38,"['Fatty acid degradation', 'Valine, leucine and isoleucine degradation', 'Lysine degradation', 'Tryptophan metabolism', 'Pyruvate metabolism', 'Glyoxylate and dicarboxylate metabolism', 'Butanoate metabolism', 'Terpenoid backbone biosynthesis', 'Metabolic pathways', 'Carbon metabolism', 'Fatty acid metabolism', 'Fat digestion and absorption']"
39,"['Fatty acid degradation', 'Valine, leucine and isoleucine degradation', 'Lysine degradation', 'Tryptophan metabolism', 'Pyruvate metabolism', 'Glyoxylate and dicarboxylate metabolism', 'Butanoate metabolism', 'Terpenoid backbone biosynthesis', 'Metabolic pathways', 'Carbon metabolism', 'Fatty acid metabolism', 'Fat digestion and absorption']"
40,"['Taste transduction', 'Inflammatory mediator regulation of TRP channels']"
41,['Inflammatory mediator regulation of TRP channels']
43,"['Glycerophospholipid metabolism', 'Cholinergic synapse']"
47,"['Citrate cycle (TCA cycle)', 'Metabolic pathways']"
48,"['Citrate cycle (TCA cycle)', 'Glyoxylate and dicarboxylate metabolism', 'Metabolic pathways', 'Carbon metabolism', '2-Oxocarboxylic acid metabolism', 'Biosynthesis of amino acids']"
50,"['Citrate cycle (TCA cycle)', 'Glyoxylate and dicarboxylate metabolism', 'Metabolic pathways', 'Carbon metabolism', '2-Oxocarboxylic acid metabolism', 'Biosynthesis of amino acids']"
51,"['Fatty acid degradation', 'beta-Alanine metabolism', 'alpha-Linolenic acid metabolism', 'Propanoate metabolism', 'Biosynthesis of unsaturated fatty acids', 'Metabolic pathways', 'Carbon metabolism', 'Fatty acid metabolism', 'PPAR signaling pathway', 'cAMP signaling pathway', 'Peroxisome', 'Alcoholic liver disease']"
52,"['Thiamine metabolism', 'Riboflavin metabolism', 'Metabolic pathways', 'Adherens junction', 'Chemical carcinogenesis - reactive oxygen species']"
53,"['Riboflavin metabolism', 'Metabolic pathways', 'Lysosome']"
54,"['Riboflavin metabolism', 'Metabolic pathways', 'Lysosome', 'Osteoclast differentiation', 'Rheumatoid arthritis']"
58,['Motor proteins']
59,"['Vascular smooth muscle contraction', 'Apelin signaling pathway', 'Motor proteins', 'Relaxin signaling pathway']"
60,"['ATP-dependent chromatin remodeling', 'Rap1 signaling pathway', 'Phagosome', 'Apoptosis', 'Hippo signaling pathway', 'Focal adhesion', 'Adherens junction', 'Tight junction', 'Platelet activation', 'Neutrophil extracellular trap formation', 'Leukocyte transendothelial migration', 'Thermogenesis', 'Regulation of actin cytoskeleton', 'Motor proteins', 'Thyroid hormone signaling pathway', 'Oxytocin signaling pathway', 'Gastric acid secretion', 'Amyotrophic lateral sclerosis', 'Bacterial invasion of epithelial cells', 'Vibrio cholerae infection', 'Pathogenic Escherichia coli infection', 'Shigellosis', 'Salmonella infection', 'Yersinia infection', 'Influenza A', 'Proteoglycans in cancer', 'Hepatocellular carcinoma', 'Hypertrophic cardiomyopathy', 'Arrhythmogenic right ventricular cardiomyopathy', 'Dilated cardiomyopathy', 'Viral myocarditis', 'Fluid shear stress and atherosclerosis']"
70,"['Cardiac muscle contraction', 'Adrenergic signaling in cardiomyocytes', 'Motor proteins', 'Hypertrophic cardiomyopathy', 'Dilated cardiomyopathy']"
71,"['ATP-dependent chromatin remodeling', 'Rap1 signaling pathway', 'Phagosome', 'Apoptosis', 'Hippo signaling pathway', 'Focal adhesion', 'Adherens junction', 'Tight junction', 'Platelet activation', 'Neutrophil extracellular trap formation', 'Leukocyte transendothelial migration', 'Thermogenesis', 'Regulation of actin cytoskeleton', 'Motor proteins', 'Thyroid hormone signaling pathway', 'Oxytocin signaling pathway', 'Gastric acid secretion', 'Amyotrophic lateral sclerosis', 'Bacterial invasion of epithelial cells', 'Vibrio cholerae infection', 'Pathogenic Escherichia coli infection', 'Shigellosis', 'Salmonella infection', 'Yersinia infection', 'Influenza A', 'Proteoglycans in cancer', 'Hepatocellular carcinoma', 'Hypertrophic cardiomyopathy', 'Arrhythmogenic right ventricular cardiomyopathy', 'Dilated cardiomyopathy', 'Viral myocarditis', 'Fluid shear stress and atherosclerosis']"
72,"['Vascular smooth muscle contraction', 'Motor proteins']"
81,"['Focal adhesion', 'Adherens junction', 'Tight junction', 'Leukocyte transendothelial migration', 'Regulation of actin cytoskeleton', 'Shigellosis', 'Amoebiasis', 'Viral carcinogenesis', 'Systemic lupus erythematosus']"
86,"['ATP-dependent chromatin remodeling', 'Thermogenesis', 'Hepatocellular carcinoma']"
87,"['Focal adhesion', 'Adherens junction', 'Tight junction', 'Leukocyte transendothelial migration', 'Regulation of actin cytoskeleton', 'Shigellosis', 'Amoebiasis', 'Viral carcinogenesis', 'Systemic lupus erythematosus']"
88,['Arrhythmogenic right ventricular cardiomyopathy']
89,['Arrhythmogenic right ventricular cardiomyopathy']
90,"['Cytokine-cytokine receptor interaction', 'TGF-beta signaling pathway', 'Signaling pathways regulating pluripotency of stem cells', 'Fluid shear stress and atherosclerosis']"
91,"['Cytokine-cytokine receptor interaction', 'TGF-beta signaling pathway', 'Signaling pathways regulating pluripotency of stem cells']"
92,"['Cytokine-cytokine receptor interaction', 'TGF-beta signaling pathway', 'Signaling pathways regulating pluripotency of stem cells', 'Fluid shear stress and atherosclerosis']"
93,"['Cytokine-cytokine receptor interaction', 'TGF-beta signaling pathway', 'Signaling pathways regulating pluripotency of stem cells', 'Fluid shear stress and atherosclerosis']"
94,['Cytokine-cytokine receptor interaction']
95,"['Arginine biosynthesis', 'Metabolic pathways', '2-Oxocarboxylic acid metabolism', 'Biosynthesis of amino acids']"
97,"['Pyruvate metabolism', 'Metabolic pathways']"
98,"['Pyruvate metabolism', 'Metabolic pathways']"
100,"['Purine metabolism', 'Metabolic pathways', 'Nucleotide metabolism', 'Primary immunodeficiency']"
102,"['Efferocytosis', 'Alzheimer disease', 'Epithelial cell signaling in Helicobacter pylori infection']"
103,"['RIG-I-like receptor signaling pathway', 'Cytosolic DNA-sensing pathway', 'Measles', 'Influenza A', 'Coronavirus disease - COVID-19']"
107,"['Purine metabolism', 'Metabolic pathways', 'Endocrine resistance', 'Rap1 signaling pathway', 'Calcium signaling pathway', 'cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'Chemokine signaling pathway', 'Phospholipase D signaling pathway', 'Oocyte meiosis', 'Longevity regulating pathway', 'Longevity regulating pathway - multiple species', 'Adrenergic signaling in cardiomyocytes', 'Vascular smooth muscle contraction', 'Apelin signaling pathway', 'Gap junction', 'Platelet activation', 'Circadian entrainment', 'Thermogenesis', 'Long-term potentiation', 'Retrograde endocannabinoid signaling', 'Glutamatergic synapse', 'Cholinergic synapse', 'GABAergic synapse', 'Inflammatory mediator regulation of TRP channels', 'Insulin secretion', 'GnRH signaling pathway', 'Ovarian steroidogenesis', 'Progesterone-mediated oocyte maturation', 'Estrogen signaling pathway', 'Melanogenesis', 'Thyroid hormone synthesis', 'Oxytocin signaling pathway', 'Regulation of lipolysis in adipocytes', 'Aldosterone synthesis and secretion', 'Relaxin signaling pathway', 'Cortisol synthesis and secretion', 'Parathyroid hormone synthesis, secretion and action', 'Cushing syndrome', 'Growth hormone synthesis, secretion and action', 'Salivary secretion', 'Gastric acid secretion', 'Pancreatic secretion', 'Bile secretion', 'Morphine addiction', 'Chagas disease', 'Amoebiasis', 'Human cytomegalovirus infection', 'Human T-cell leukemia virus 1 infection', 'Pathways in cancer', 'Chemical carcinogenesis - receptor activation', 'Dilated cardiomyopathy']"
108,"['Purine metabolism', 'Metabolic pathways', 'Endocrine resistance', 'Rap1 signaling pathway', 'Calcium signaling pathway', 'cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'Chemokine signaling pathway', 'Phospholipase D signaling pathway', 'Oocyte meiosis', 'Longevity regulating pathway', 'Longevity regulating pathway - multiple species', 'Adrenergic signaling in cardiomyocytes', 'Vascular smooth muscle contraction', 'Apelin signaling pathway', 'Gap junction', 'Platelet activation', 'Circadian entrainment', 'Thermogenesis', 'Retrograde endocannabinoid signaling', 'Glutamatergic synapse', 'Cholinergic synapse', 'GABAergic synapse', 'Inflammatory mediator regulation of TRP channels', 'Insulin secretion', 'GnRH signaling pathway', 'Ovarian steroidogenesis', 'Progesterone-mediated oocyte maturation', 'Estrogen signaling pathway', 'Melanogenesis', 'Thyroid hormone synthesis', 'Oxytocin signaling pathway', 'Glucagon signaling pathway', 'Regulation of lipolysis in adipocytes', 'Aldosterone synthesis and secretion', 'Relaxin signaling pathway', 'Cortisol synthesis and secretion', 'Parathyroid hormone synthesis, secretion and action', 'Cushing syndrome', 'Growth hormone synthesis, secretion and action', 'Salivary secretion', 'Gastric acid secretion', 'Pancreatic secretion', 'Bile secretion', 'Morphine addiction', 'Human cytomegalovirus infection', 'Human T-cell leukemia virus 1 infection', 'Pathways in cancer', 'Chemical carcinogenesis - receptor activation', 'Dilated cardiomyopathy']"
109,"['Purine metabolism', 'Metabolic pathways', 'Endocrine resistance', 'Rap1 signaling pathway', 'Calcium signaling pathway', 'cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'Chemokine signaling pathway', 'Phospholipase D signaling pathway', 'Oocyte meiosis', 'Longevity regulating pathway', 'Longevity regulating pathway - multiple species', 'Adrenergic signaling in cardiomyocytes', 'Vascular smooth muscle contraction', 'Apelin signaling pathway', 'Gap junction', 'Platelet activation', 'Circadian entrainment', 'Thermogenesis', 'Retrograde endocannabinoid signaling', 'Glutamatergic synapse', 'Cholinergic synapse', 'GABAergic synapse', 'Olfactory transduction', 'Inflammatory mediator regulation of TRP channels', 'Insulin secretion', 'GnRH signaling pathway', 'Ovarian steroidogenesis', 'Progesterone-mediated oocyte maturation', 'Estrogen signaling pathway', 'Melanogenesis', 'Thyroid hormone synthesis', 'Oxytocin signaling pathway', 'Regulation of lipolysis in adipocytes', 'Aldosterone synthesis and secretion', 'Relaxin signaling pathway', 'Cortisol synthesis and secretion', 'Parathyroid hormone synthesis, secretion and action', 'Cushing syndrome', 'Growth hormone synthesis, secretion and action', 'Vasopressin-regulated water reabsorption', 'Salivary secretion', 'Gastric acid secretion', 'Pancreatic secretion', 'Bile secretion', 'Morphine addiction', 'Vibrio cholerae infection', 'Human cytomegalovirus infection', 'Human T-cell leukemia virus 1 infection', 'Pathways in cancer', 'Chemical carcinogenesis - receptor activation', 'Dilated cardiomyopathy']"
111,"['Purine metabolism', 'Metabolic pathways', 'Endocrine resistance', 'Rap1 signaling pathway', 'cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'Chemokine signaling pathway', 'Phospholipase D signaling pathway', 'Oocyte meiosis', 'Longevity regulating pathway', 'Longevity regulating pathway - multiple species', 'Adrenergic signaling in cardiomyocytes', 'Vascular smooth muscle contraction', 'Apelin signaling pathway', 'Gap junction', 'Platelet activation', 'Circadian entrainment', 'Thermogenesis', 'Retrograde endocannabinoid signaling', 'Glutamatergic synapse', 'Cholinergic synapse', 'Serotonergic synapse', 'GABAergic synapse', 'Dopaminergic synapse', 'Inflammatory mediator regulation of TRP channels', 'Insulin secretion', 'GnRH signaling pathway', 'Ovarian steroidogenesis', 'Progesterone-mediated oocyte maturation', 'Estrogen signaling pathway', 'Melanogenesis', 'Thyroid hormone synthesis', 'Oxytocin signaling pathway', 'Regulation of lipolysis in adipocytes', 'Renin secretion', 'Aldosterone synthesis and secretion', 'Relaxin signaling pathway', 'Cortisol synthesis and secretion', 'Parathyroid hormone synthesis, secretion and action', 'Cushing syndrome', 'Growth hormone synthesis, secretion and action', 'Salivary secretion', 'Gastric acid secretion', 'Pancreatic secretion', 'Bile secretion', 'Parkinson disease', 'Cocaine addiction', 'Amphetamine addiction', 'Morphine addiction', 'Alcoholism', 'Human cytomegalovirus infection', 'Human T-cell leukemia virus 1 infection', 'Pathways in cancer', 'Chemical carcinogenesis - receptor activation', 'Dilated cardiomyopathy']"
112,"['Purine metabolism', 'Metabolic pathways', 'Endocrine resistance', 'Rap1 signaling pathway', 'cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'Chemokine signaling pathway', 'Phospholipase D signaling pathway', 'Oocyte meiosis', 'Longevity regulating pathway', 'Longevity regulating pathway - multiple species', 'Adrenergic signaling in cardiomyocytes', 'Vascular smooth muscle contraction', 'Apelin signaling pathway', 'Gap junction', 'Platelet activation', 'Circadian entrainment', 'Thermogenesis', 'Retrograde endocannabinoid signaling', 'Glutamatergic synapse', 'Cholinergic synapse', 'GABAergic synapse', 'Taste transduction', 'Inflammatory mediator regulation of TRP channels', 'Insulin secretion', 'GnRH signaling pathway', 'Ovarian steroidogenesis', 'Progesterone-mediated oocyte maturation', 'Estrogen signaling pathway', 'Melanogenesis', 'Thyroid hormone synthesis', 'Oxytocin signaling pathway', 'Regulation of lipolysis in adipocytes', 'Renin secretion', 'Aldosterone synthesis and secretion', 'Relaxin signaling pathway', 'Cortisol synthesis and secretion', 'Parathyroid hormone synthesis, secretion and action', 'Cushing syndrome', 'Growth hormone synthesis, secretion and action', 'Endocrine and other factor-regulated calcium reabsorption', 'Vasopressin-regulated water reabsorption', 'Salivary secretion', 'Gastric acid secretion', 'Pancreatic secretion', 'Bile secretion', 'Morphine addiction', 'Human cytomegalovirus infection', 'Human T-cell leukemia virus 1 infection', 'Pathways in cancer', 'Chemical carcinogenesis - receptor activation', 'Dilated cardiomyopathy']"
113,"['Purine metabolism', 'Metabolic pathways', 'Endocrine resistance', 'Rap1 signaling pathway', 'Calcium signaling pathway', 'cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'Chemokine signaling pathway', 'Phospholipase D signaling pathway', 'Oocyte meiosis', 'Longevity regulating pathway', 'Longevity regulating pathway - multiple species', 'Adrenergic signaling in cardiomyocytes', 'Vascular smooth muscle contraction', 'Apelin signaling pathway', 'Gap junction', 'Platelet activation', 'Circadian entrainment', 'Thermogenesis', 'Retrograde endocannabinoid signaling', 'Glutamatergic synapse', 'Cholinergic synapse', 'GABAergic synapse', 'Inflammatory mediator regulation of TRP channels', 'Insulin secretion', 'GnRH signaling pathway', 'Ovarian steroidogenesis', 'Progesterone-mediated oocyte maturation', 'Estrogen signaling pathway', 'Melanogenesis', 'Thyroid hormone synthesis', 'Oxytocin signaling pathway', 'Regulation of lipolysis in adipocytes', 'Aldosterone synthesis and secretion', 'Relaxin signaling pathway', 'Cortisol synthesis and secretion', 'Parathyroid hormone synthesis, secretion and action', 'Cushing syndrome', 'Growth hormone synthesis, secretion and action', 'Salivary secretion', 'Gastric acid secretion', 'Pancreatic secretion', 'Bile secretion', 'Morphine addiction', 'Human cytomegalovirus infection', 'Human T-cell leukemia virus 1 infection', 'Pathways in cancer', 'Chemical carcinogenesis - receptor activation', 'Dilated cardiomyopathy']"
114,"['Purine metabolism', 'Metabolic pathways', 'Endocrine resistance', 'Rap1 signaling pathway', 'Calcium signaling pathway', 'cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'Chemokine signaling pathway', 'Phospholipase D signaling pathway', 'Oocyte meiosis', 'Longevity regulating pathway', 'Longevity regulating pathway - multiple species', 'Adrenergic signaling in cardiomyocytes', 'Vascular smooth muscle contraction', 'Apelin signaling pathway', 'Gap junction', 'Platelet activation', 'Circadian entrainment', 'Thermogenesis', 'Long-term potentiation', 'Retrograde endocannabinoid signaling', 'Glutamatergic synapse', 'Cholinergic synapse', 'GABAergic synapse', 'Taste transduction', 'Inflammatory mediator regulation of TRP channels', 'Insulin secretion', 'GnRH signaling pathway', 'Ovarian steroidogenesis', 'Progesterone-mediated oocyte maturation', 'Estrogen signaling pathway', 'Melanogenesis', 'Thyroid hormone synthesis', 'Oxytocin signaling pathway', 'Regulation of lipolysis in adipocytes', 'Aldosterone synthesis and secretion', 'Relaxin signaling pathway', 'Cortisol synthesis and secretion', 'Parathyroid hormone synthesis, secretion and action', 'Cushing syndrome', 'Growth hormone synthesis, secretion and action', 'Salivary secretion', 'Gastric acid secretion', 'Pancreatic secretion', 'Bile secretion', 'Morphine addiction', 'Human cytomegalovirus infection', 'Human T-cell leukemia virus 1 infection', 'Pathways in cancer', 'Chemical carcinogenesis - receptor activation', 'Dilated cardiomyopathy']"
115,"['Purine metabolism', 'Metabolic pathways', 'Endocrine resistance', 'Rap1 signaling pathway', 'Calcium signaling pathway', 'cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'Chemokine signaling pathway', 'Phospholipase D signaling pathway', 'Oocyte meiosis', 'Longevity regulating pathway', 'Longevity regulating pathway - multiple species', 'Adrenergic signaling in cardiomyocytes', 'Vascular smooth muscle contraction', 'Apelin signaling pathway', 'Gap junction', 'Platelet activation', 'Circadian entrainment', 'Thermogenesis', 'Retrograde endocannabinoid signaling', 'Glutamatergic synapse', 'Cholinergic synapse', 'GABAergic synapse', 'Inflammatory mediator regulation of TRP channels', 'Insulin secretion', 'GnRH signaling pathway', 'Ovarian steroidogenesis', 'Progesterone-mediated oocyte maturation', 'Estrogen signaling pathway', 'Melanogenesis', 'Thyroid hormone synthesis', 'Oxytocin signaling pathway', 'Regulation of lipolysis in adipocytes', 'Aldosterone synthesis and secretion', 'Relaxin signaling pathway', 'Cortisol synthesis and secretion', 'Parathyroid hormone synthesis, secretion and action', 'Cushing syndrome', 'Growth hormone synthesis, secretion and action', 'Endocrine and other factor-regulated calcium reabsorption', 'Vasopressin-regulated water reabsorption', 'Salivary secretion', 'Gastric acid secretion', 'Pancreatic secretion', 'Bile secretion', 'Morphine addiction', 'Vibrio cholerae infection', 'Human cytomegalovirus infection', 'Human T-cell leukemia virus 1 infection', 'Pathways in cancer', 'Chemical carcinogenesis - receptor activation', 'Dilated cardiomyopathy']"
116,"['cAMP signaling pathway', 'Neuroactive ligand-receptor interaction', 'Circadian entrainment', 'Insulin secretion', 'Renin secretion']"
117,"['cAMP signaling pathway', 'Neuroactive ligand-receptor interaction', 'Circadian entrainment', 'Insulin secretion', 'Renin secretion']"
123,['PPAR signaling pathway']
124,"['Glycolysis / Gluconeogenesis', 'Fatty acid degradation', 'Tyrosine metabolism', 'Pyruvate metabolism', 'Retinol metabolism', 'Metabolism of xenobiotics by cytochrome P450', 'Drug metabolism - cytochrome P450', 'Metabolic pathways', 'Alcoholic liver disease']"
125,"['Glycolysis / Gluconeogenesis', 'Fatty acid degradation', 'Tyrosine metabolism', 'Pyruvate metabolism', 'Retinol metabolism', 'Metabolism of xenobiotics by cytochrome P450', 'Drug metabolism - cytochrome P450', 'Metabolic pathways', 'Alcoholic liver disease']"
126,"['Glycolysis / Gluconeogenesis', 'Fatty acid degradation', 'Tyrosine metabolism', 'Pyruvate metabolism', 'Retinol metabolism', 'Metabolism of xenobiotics by cytochrome P450', 'Drug metabolism - cytochrome P450', 'Metabolic pathways', 'Alcoholic liver disease']"
127,"['Glycolysis / Gluconeogenesis', 'Fatty acid degradation', 'Tyrosine metabolism', 'Pyruvate metabolism', 'Retinol metabolism', 'Metabolism of xenobiotics by cytochrome P450', 'Drug metabolism - cytochrome P450', 'Metabolic pathways', 'Alcoholic liver disease']"
128,"['Glycolysis / Gluconeogenesis', 'Fatty acid degradation', 'Tyrosine metabolism', 'Pyruvate metabolism', 'Retinol metabolism', 'Metabolism of xenobiotics by cytochrome P450', 'Drug metabolism - cytochrome P450', 'Metabolic pathways', 'Carbon metabolism', 'Alcoholic liver disease']"
130,"['Glycolysis / Gluconeogenesis', 'Fatty acid degradation', 'Tyrosine metabolism', 'Pyruvate metabolism', 'Retinol metabolism', 'Metabolism of xenobiotics by cytochrome P450', 'Drug metabolism - cytochrome P450', 'Metabolic pathways', 'Alcoholic liver disease']"
131,"['Glycolysis / Gluconeogenesis', 'Fatty acid degradation', 'Tyrosine metabolism', 'Pyruvate metabolism', 'Retinol metabolism', 'Metabolism of xenobiotics by cytochrome P450', 'Drug metabolism - cytochrome P450', 'Metabolic pathways', 'Alcoholic liver disease']"
132,"['Purine metabolism', 'Metabolic pathways', 'Nucleotide metabolism']"
133,"['Neuroactive ligand-receptor interaction', 'Vascular smooth muscle contraction']"
134,"['cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'Sphingolipid signaling pathway', 'Neuroactive ligand-receptor interaction', 'Regulation of lipolysis in adipocytes', 'Renin secretion', 'Morphine addiction']"
135,"['Rap1 signaling pathway', 'Calcium signaling pathway', 'cAMP signaling pathway', 'Neuroactive ligand-receptor interaction', 'Vascular smooth muscle contraction', 'Parkinson disease', 'Alcoholism']"
136,"['Rap1 signaling pathway', 'Calcium signaling pathway', 'Neuroactive ligand-receptor interaction', 'Vascular smooth muscle contraction', 'Alcoholism']"
140,"['cGMP-PKG signaling pathway', 'Sphingolipid signaling pathway', 'Neuroactive ligand-receptor interaction']"
142,"['Base excision repair', 'NF-kappa B signaling pathway', 'Apoptosis', 'Necroptosis', 'Diabetic cardiomyopathy']"
143,"['Base excision repair', 'Apoptosis']"
146,"['Calcium signaling pathway', 'cGMP-PKG signaling pathway', 'Neuroactive ligand-receptor interaction', 'Adrenergic signaling in cardiomyocytes', 'Vascular smooth muscle contraction', 'Salivary secretion']"
147,"['Calcium signaling pathway', 'cGMP-PKG signaling pathway', 'Neuroactive ligand-receptor interaction', 'Adrenergic signaling in cardiomyocytes', 'Vascular smooth muscle contraction', 'Salivary secretion']"
148,"['Calcium signaling pathway', 'cGMP-PKG signaling pathway', 'Neuroactive ligand-receptor interaction', 'AMPK signaling pathway', 'Adrenergic signaling in cardiomyocytes', 'Vascular smooth muscle contraction', 'Salivary secretion']"
150,"['cGMP-PKG signaling pathway', 'Neuroactive ligand-receptor interaction']"
151,"['cGMP-PKG signaling pathway', 'Neuroactive ligand-receptor interaction']"
152,"['cGMP-PKG signaling pathway', 'Neuroactive ligand-receptor interaction']"
153,"['Calcium signaling pathway', 'cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'Neuroactive ligand-receptor interaction', 'Adrenergic signaling in cardiomyocytes', 'Gap junction', 'Regulation of lipolysis in adipocytes', 'Renin secretion', 'Salivary secretion', 'Chemical carcinogenesis - receptor activation', 'Dilated cardiomyopathy']"
154,"['Calcium signaling pathway', 'cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'Neuroactive ligand-receptor interaction', 'Adrenergic signaling in cardiomyocytes', 'Regulation of lipolysis in adipocytes', 'Renin secretion', 'Salivary secretion', 'Chemical carcinogenesis - receptor activation']"
155,"['Calcium signaling pathway', 'cGMP-PKG signaling pathway', 'Neuroactive ligand-receptor interaction', 'Thermogenesis', 'Regulation of lipolysis in adipocytes', 'Renin secretion', 'Salivary secretion', 'Chemical carcinogenesis - receptor activation']"
156,"['Chemokine signaling pathway', 'Endocytosis', 'Hedgehog signaling pathway', 'Glutamatergic synapse', 'Olfactory transduction', 'Morphine addiction']"
157,"['Chemokine signaling pathway', 'Endocytosis', 'Hedgehog signaling pathway', 'Glutamatergic synapse', 'Olfactory transduction', 'Morphine addiction']"
158,"['Purine metabolism', 'Alanine, aspartate and glutamate metabolism', 'Metabolic pathways', 'Nucleotide metabolism', 'Biosynthesis of cofactors']"
159,"['Purine metabolism', 'Alanine, aspartate and glutamate metabolism', 'Metabolic pathways', 'Nucleotide metabolism', 'Biosynthesis of cofactors']"
160,"['Endocytosis', 'Synaptic vesicle cycle', 'Endocrine and other factor-regulated calcium reabsorption', 'Huntington disease']"
161,"['Endocytosis', 'Synaptic vesicle cycle', 'Endocrine and other factor-regulated calcium reabsorption', 'Huntington disease']"
162,"['Lysosome', 'Human immunodeficiency virus 1 infection']"
163,"['Endocytosis', 'Synaptic vesicle cycle', 'Endocrine and other factor-regulated calcium reabsorption', 'Huntington disease']"
164,"['Lysosome', 'Human immunodeficiency virus 1 infection']"
174,['Hippo signaling pathway']
175,"['Other glycan degradation', 'Lysosome']"
177,"['Efferocytosis', 'Neutrophil extracellular trap formation', 'AGE-RAGE signaling pathway in diabetic complications', 'Alzheimer disease', 'Pathways of neurodegeneration - multiple diseases', 'Diabetic cardiomyopathy', 'Lipid and atherosclerosis']"
178,"['Starch and sucrose metabolism', 'Metabolic pathways']"
181,['Adipocytokine signaling pathway']
182,"['Endocrine resistance', 'Notch signaling pathway', 'Apelin signaling pathway', 'Th1 and Th2 cell differentiation', 'TNF signaling pathway', 'Human papillomavirus infection', 'Pathways in cancer', 'Chemical carcinogenesis - receptor activation', 'Breast cancer']"
183,"['Phospholipase D signaling pathway', 'Neuroactive ligand-receptor interaction', 'Adrenergic signaling in cardiomyocytes', 'Vascular smooth muscle contraction', 'Renin-angiotensin system', 'Renin secretion', 'Aldosterone synthesis and secretion', 'Cortisol synthesis and secretion', 'Insulin resistance', 'AGE-RAGE signaling pathway in diabetic complications', 'Cushing syndrome', 'Pathways in cancer', 'Hypertrophic cardiomyopathy', 'Dilated cardiomyopathy', 'Diabetic cardiomyopathy']"
