umlsid,phenotype,hpoid,cr
C0154723,Migraine with aura,HP:0002077,PT
C0265783,Pulmonary hypoplasia,HP:0002089,PT
C0019079,Hemoptysis,HP:0002105,PT
C0032326,Pneumothorax,HP:0002107,PT
C0006267,Bronchiectasis,HP:0002110,PT
C0266464,Polymicrogyria,HP:0002126,PT
C1720189,Episodic ataxia,HP:0002131,PT
C4520981,Abnormality of the basal ganglia,HP:0002134,PT
C1834405,Nail dysplasia,HP:0002164,PT
C0009024,Clonus,HP:0002169,PT
C0877056,Hypoglycemic seizures,HP:0002173,PT
C0151818,Opisthotonus,HP:0002179,PT
C0006114,Cerebral edema,HP:0002181,PT
C3161330,"Intellectual disability, profound",HP:0002187,PT
C1836737,White eyebrow,HP:0002226,PT
C0025222,Melena,HP:0002249,PT
C3808403,Large fleshy ears,HP:0002265,PT
C0241816,Global brain atrophy,HP:0002283,PT
C1849221,Fair hair,HP:0002286,PT
C1851885,Progressive alopecia,HP:0002287,PT
C0004158,Athetosis,HP:0002305,PT
C1858116,Caudate atrophy,HP:0002340,PT
C0020258,Normal pressure hydrocephalus,HP:0002343,PT
C0973461,Dysphasia,HP:0002357,PT
C0037317,Sleep disturbance,HP:0002360,PT
C0233763,Visual hallucinations,HP:0002367,PT
C0086439,Hypokinesia,HP:0002375,PT
C0080178,Spina bifida,HP:0002414,PT
C1865903,Long-tract signs,HP:0002423,PT
C0234517,Anarthria,HP:0002425,PT
C1848652,Occipital meningocele,HP:0002436,PT
C1838578,Progressive encephalopathy,HP:0002448,PT
C0476217,Abnormal head movements,HP:0002457,PT
C1845029,Nonprogressive cerebellar ataxia,HP:0002470,PT
C1866751,Spinocerebellar tract degeneration,HP:0002503,PT
C1855677,Brainstem dysplasia,HP:0002508,PT
C1838391,Limb hypertonia,HP:0002509,PT
C0426970,Spastic tetraplegia,HP:0002510,PT
C0270685,Cerebral calcification,HP:0002514,PT
C4025702,Deficit in nonword repetition,HP:0002526,PT
C1856019,Abnormal cortical gyration,HP:0002536,PT
C0560046,Inability to walk,HP:0002540,PT
C1857638,Patchy demyelination of subcortical white matter,HP:0002545,PT
C4025700,Trichodysplasia,HP:0002552,PT
C1859391,Absent pubic hair,HP:0002555,PT
C0266011,Supernumerary nipple,HP:0002558,PT
C0175755,Absent nipple,HP:0002561,PT
C0014848,Achalasia,HP:0002571,PT
C3808022,Episodic abdominal pain,HP:0002574,PT
C0038358,Gastric ulcer,HP:0002592,PT
C0266267,Pancreatic hypoplasia,HP:0002594,PT
C0009714,Congenital hepatic fibrosis,HP:0002612,PT
C0546389,Hepatic periportal necrosis,HP:0002614,PT
C0004153,Atherosclerosis,HP:0002621,PT
C0392476,Epiphyseal dysplasia,HP:0002656,PT
C4759767,Spondylometaphyseal dysplasia,HP:0002657,PT
C0151544,Gastrointestinal carcinoma,HP:0002672,PT
C1854718,J-shaped sella turcica,HP:0002680,PT
C0021051,Immunodeficiency,HP:0002721,PT
C4021752,Recurrent Aspergillus infections,HP:0002724,PT
C4014733,Follicular hyperplasia,HP:0002729,PT
C4025679,Stippled chondral calcification,HP:0002764,PT
C0264324,Tracheal calcification,HP:0002787,PT
C0581381,Recurrent upper respiratory tract infections,HP:0002788,PT
C0231835,Tachypnea,HP:0002789,PT
C0520679,Obstructive sleep apnea,HP:0002870,PT
C3887548,Central apnea,HP:0002871,PT
C4025671,Sudden episodic apnea,HP:0002882,PT
C0262587,Parathyroid adenoma,HP:0002897,PT
C0239937,Microscopic hematuria,HP:0002907,PT
C1847868,Generalized aminoaciduria,HP:0002909,PT
C4025670,Abnormality of chromosome segregation,HP:0002916,PT
C5399766,Histidinuria,HP:0002927,PT
C1855781,Cutaneous anergy,HP:0002965,PT
C0158465,Cubitus valgus,HP:0002967,PT
C1833173,Absent microvilli on the surface of peripheral blood lymphocytes,HP:0002971,PT
C4025665,Aplasia/Hypoplasia involving the central nervous system,HP:0002977,PT
C0025995,Micromelia,HP:0002983,PT
C1836186,Fibular aplasia,HP:0002990,PT
C0007102,Colon cancer,HP:0003003,PT
C4025661,Enhanced neurotoxicity of vincristine,HP:0003009,PT
C4021745,Abnormality of the musculature,HP:0003011,PT
C4021744,Abnormality of the wrist,HP:0003019,PT
C0231678,Ulnar deviation of the wrist,HP:0003049,PT
C2931216,Tetraamelia,HP:0003057,PT
C1857527,Flattened epiphysis,HP:0003071,PT
C0948585,Hydroxyprolinuria,HP:0003080,PT
C1835121,Premature osteoarthritis,HP:0003088,PT
C3553368,Limited hip extension,HP:0003093,PT
C0543541,Hyperglycinuria,HP:0003108,PT
C1328587,Panhypogammaglobulinemia,HP:0003139,PT
C4025646,T-wave inversion in the right precordial leads,HP:0003140,PT
C0877243,Increased serum serotonin,HP:0003144,PT
C4021740,Increased circulating ACTH level,HP:0003154,PT
C1837485,Flat acetabular roof,HP:0003180,PT
C0269269,Inverted nipples,HP:0003186,PT
C0026848,Myopathy,HP:0003198,PT
C1844394,Decreased activity of NADPH oxidase,HP:0003206,PT
C0268412,Phosphoethanolaminuria,HP:0003239,PT
C4021848,Abnormality of DNA repair,HP:0003254,PT
C0241185,Smooth muscle antibody positivity,HP:0003262,PT
C0409354,Hip contracture,HP:0003273,PT
C1858025,Spinal rigidity,HP:0003306,PT
C1864794,Abnormality of the odontoid process,HP:0003310,PT
C1852464,Abnormality of the cervical spine,HP:0003319,PT
C4025630,Abnormal bone structure,HP:0003330,PT
C4025628,Abnormal enchondral ossification,HP:0003336,PT
C3151952,3-Methylglutaric aciduria,HP:0003344,PT
C1859606,Decreased number of large peripheral myelinated nerve fibers,HP:0003387,PT
C1842587,Sensory axonal neuropathy,HP:0003390,PT
C0263905,Atlantoaxial dislocation,HP:0003414,PT
C0432163,Vertebral segmentation defect,HP:0003422,PT
C1859335,Thoracolumbar kyphoscoliosis,HP:0003423,PT
C1858729,Decreased motor nerve conduction velocity,HP:0003431,PT
C4025614,EMG: chronic denervation signs,HP:0003444,PT
C1859828,Increased extraneuronal autofluorescent lipopigment,HP:0003463,PT
C1867971,Acute episodes of neuropathic symptoms,HP:0003489,PT
C1846435,Disproportionate short-trunk short stature,HP:0003521,PT
C3278626,Orotic acid crystalluria,HP:0003526,PT
C1868394,Elevated calcitonin,HP:0003528,PT
C1855853,Impaired platelet aggregation,HP:0003540,PT
C0239067,Difficulty climbing stairs,HP:0003551,PT
C1864580,Type 2 muscle fiber atrophy,HP:0003554,PT
C0026850,Muscular dystrophy,HP:0003560,PT
C3150358,Increased serum prostaglandin E2,HP:0003566,PT
C0268119,Molybdenum cofactor deficiency,HP:0003570,PT
C4025593,Increased intracellular sodium,HP:0003575,PT
C0432185,Amyoplasia,HP:0003634,PT
C0019048,Hemoglobinuria,HP:0003641,PT
C0268624,Sulfite oxidase deficiency,HP:0003643,PT
C0240671,Prolonged partial thromboplastin time,HP:0003645,PT
C4025580,Pace of progression,HP:0003679,PT
C2265792,Skeletal muscle hypertrophy,HP:0003712,PT
C0577655,Quadriceps muscle weakness,HP:0003731,PT
C1846674,Thigh hypertrophy,HP:0003733,PT
C4025575,Myotonia with warm-up phenomenon,HP:0003740,PT
C4025573,Increased muscle fatiguability,HP:0003750,PT
C4025571,Type 1 fibers relatively smaller than type 2 fibers,HP:0003755,PT
C1857657,Reduced subcutaneous adipose tissue,HP:0003758,PT
C0266393,Uterus didelphys,HP:0003762,PT
C1279412,Periodic paralysis,HP:0003768,PT
C1861403,Variable expressivity,HP:0003828,PT
C1836598,Incomplete penetrance,HP:0003829,PT
C4025564,Abnormality of the tibial plateaux,HP:0003832,PT
C4025563,Laterally deficient tibial plateaux,HP:0003833,PT
C4021719,Upper limb metaphyseal widening,HP:0003856,PT
C4025546,Angulated humerus,HP:0003863,PT
C4025545,Bifid humerus,HP:0003864,PT
C4025537,Humerus varus,HP:0003874,PT
C4021716,Humeral sclerosis,HP:0003881,PT
C4025527,Abnormality of the deltoid tuberosities,HP:0003889,PT
C4025523,Irregular ossification of the humeral epiphyses,HP:0003897,PT
C4021709,Wide epiphyses of the upper limbs,HP:0003904,PT
C4025506,Laterally sloping humeral metaphysis,HP:0003921,PT
C4025502,Abnormality of the humeral diaphysis,HP:0003926,PT
C4025494,Synostosis involving the elbow,HP:0003938,PT
C0409954,Osteoarthritis of the elbow,HP:0003940,PT
C4021702,Sclerotic foci of metaphyses of the elbow,HP:0003952,PT
C4025472,Sclerotic forearm bones,HP:0003967,PT
C4025467,Deformed radius,HP:0003977,PT
C0034628,Fractured radius,HP:0003978,PT
C4025465,Posteriorly dislocated ulna,HP:0003984,PT
C4025447,Small radial epiphyses,HP:0004010,PT
C4025442,Exostoses of the radial metaphysis,HP:0004017,PT
C4025435,Spurred radial metaphysis,HP:0004025,PT
C4025427,Abnormality of the styloid process of ulna,HP:0004035,PT
C4021689,Abnormality of the ulnar epiphyses,HP:0004037,PT
C4025422,Cupped ulnar metaphysis,HP:0004041,PT
C0265594,Absent hand,HP:0004050,PT
C4021685,Dysharmonic maturation of the hand bones,HP:0004053,PT
C4021684,Sclerosis of hand bone,HP:0004054,PT
C0426874,Trident hand,HP:0004060,PT
C1850049,Clinodactyly of the 5th finger,HP:0004209,PT
C4025405,Abnormality of the epiphysis of the middle phalanx of the 5th finger,HP:0004224,PT
C1849292,Advanced ossification of carpal bones,HP:0004233,PT
C4025403,Bone-in-a-bone appearance of carpal bones,HP:0004234,PT
C4025402,Comma-shaped carpal bones,HP:0004235,PT
C4025390,Abnormality of the trapezium,HP:0004252,PT
C4021669,Delayed ossification of the trapezium,HP:0004254,PT
C4025388,Abnormality of the trapezoid bone,HP:0004256,PT
C4025386,Abnormality of the hamate bone,HP:0004259,PT
C4025384,Abnormality of the capitate bone,HP:0004262,PT
C4025378,Cortical thinning of hand bones,HP:0004272,PT
C4025377,Cupped metaphyses of hand bones,HP:0004273,PT
C4025375,Exostoses of hand bones,HP:0004276,PT
C1843108,Short palm,HP:0004279,PT
C4021665,Synostosis of second metacarpal-trapezoid,HP:0004293,PT
C0005690,Bladder fistula,HP:0004321,PT
C1262477,Decreased body weight,HP:0004325,PT
C0020496,Increased skull ossification,HP:0004330,PT
C4025351,Abnormality of galactoside metabolism,HP:0004342,PT
C0919718,Mitral valve calcification,HP:0004382,PT
C0152101,Hypoplastic left heart,HP:0004383,PT
C0162429,Malnutrition,HP:0004395,PT
C0549397,Deviated nasal septum,HP:0004411,PT
C3550150,Recurrent thrombophlebitis,HP:0004419,PT
C1840374,Elevated systolic blood pressure,HP:0004421,PT
C1837066,Recurrent viral infections,HP:0004429,PT
C4025323,Postauricular skin tag,HP:0004451,PT
C0395905,Postauricular pit,HP:0004464,PT
C1863492,Aplasia cutis congenita over parietal area,HP:0004476,PT
C1863395,Acrobrachycephaly,HP:0004487,PT
C1855233,Large posterior fontanelle,HP:0004491,PT
C1868085,Craniofacial hyperostosis,HP:0004493,PT
C0597167,Pancreatic islet-cell hyperplasia,HP:0004510,PT
C4025309,Supernumerary vertebral ossification centers,HP:0004598,PT
C1832983,Absent or minimally ossified vertebral bodies,HP:0004599,PT
C1860191,Absent vertebral body mineralization,HP:0004605,PT
C1864361,Lower thoracic kyphosis,HP:0004633,PT
C2673653,Cuboid-shaped vertebral bodies,HP:0004634,PT
C1837836,4-5 toe syndactyly,HP:0004692,PT
C4025300,Axial malrotation of the kidney,HP:0004717,PT
C1843274,Acute tubulointerstitial nephritis,HP:0004729,PT
C0030591,Paroxysmal ventricular tachycardia,HP:0004751,PT
C0240880,Rectoperineal fistula,HP:0004792,PT
C1854495,Recurrent infection of the gastrointestinal tract,HP:0004798,PT
C4021648,Fava bean-induced hemolytic anemia,HP:0004814,PT
C4025289,Drug-sensitive hemolytic anemia,HP:0004817,PT
C0520739,Pyropoikilocytosis,HP:0004839,PT
C1709527,Ph-positive acute lymphoblastic leukemia,HP:0004848,PT
C1839167,Intermittent thrombocytopenia,HP:0004854,PT
C0271902,Normochromic microcytic anemia,HP:0004856,PT
C3854594,Hyperchromic macrocytic anemia,HP:0004857,PT
C2675059,Refractory macrocytic anemia,HP:0004861,PT
C0267716,Incisional hernia,HP:0004872,PT
C4025281,Neonatal inspiratory stridor,HP:0004875,PT
C1857021,Spontaneous neonatal pneumothorax,HP:0004876,PT
C4025277,Exercise-induced lactic acidemia,HP:0004901,PT
C1836791,Tortuous cerebral arteries,HP:0004938,PT
C4025268,Extrahepatic portal hypertension,HP:0004941,PT
C1849618,Accelerated atherosclerosis,HP:0004943,PT
C0003855,Arteriovenous fistula,HP:0004947,PT
C1836651,Generalized arterial tortuosity,HP:0004955,PT
C1856123,Pulmonary artery sling,HP:0004961,PT
C1840376,Elevated mean arterial pressure,HP:0004972,PT
C4025258,Polyarticular chondrocalcinosis,HP:0005017,PT
C2676443,Proximal radio-ulnar synostosis,HP:0005037,PT
C1835583,Multiple long-bone exostoses,HP:0005039,PT
C1968610,Anterolateral radial head dislocation,HP:0005050,PT
C1832988,Metaphyseal spurs,HP:0005054,PT
C2673395,Proximal fibular overgrowth,HP:0005067,PT
C4025254,Absent styloid process of ulna,HP:0005068,PT
C2673654,Rhizo-meso-acromelic limb shortening,HP:0005069,PT
C1850853,Hyperextensibility at wrists,HP:0005072,PT
C0004238,Atrial fibrillation,HP:0005110,PT
C0238044,Concentric hypertrophic cardiomyopathy,HP:0005157,PT
C4025237,Stiff interphalangeal joints,HP:0005198,PT
C0035357,Retroperitoneal fibrosis,HP:0005200,PT
C4025235,Frequent Giardia lamblia infestation,HP:0005215,PT
C1395674,Bowel diverticulosis,HP:0005222,PT
C0085695,Chronic gastritis,HP:0005231,PT
C4025227,High intestinal obstruction,HP:0005250,PT
C0266249,Abnormality of the gallbladder,HP:0005264,PT
C1855616,Cartilaginous ossification of nose,HP:0005275,PT
C1865597,Hypoplastic nasal bridge,HP:0005281,PT
C1969291,Aortic arch calcification,HP:0005303,PT
C1850438,Postural hypotension with compensatory tachycardia,HP:0005307,PT
C4025217,Pulmonary aterial intimal fibrosis,HP:0005312,PT
C0242387,Mandibulofacial dysostosis,HP:0005321,PT
C1855353,Fixed facial expression,HP:0005329,PT
C1836904,Spastic/hyperactive bladder,HP:0005340,PT
C4025204,Recurrent Haemophilus influenzae infections,HP:0005376,PT
C1846551,Defective B cell activation,HP:0005384,PT
C1969220,Depletion of components of the alternative complement pathway,HP:0005389,PT
C4025199,Chronic intestinal candidiasis,HP:0005411,PT
C1833487,Severe recurrent varicella,HP:0005428,PT
C3151083,Recurrent Neisserial infections,HP:0005430,PT
C1856778,Widely patent coronal suture,HP:0005442,PT
C4038738,Obtuse angle of mandible,HP:0005446,PT
C0277827,Premature closure of fontanelles,HP:0005458,PT
C1863311,Elongated sella turcica,HP:0005463,PT
C4025192,Orbital craniosynostosis,HP:0005472,PT
C4025189,Metopic suture patent to nasal root,HP:0005495,PT
C4025188,Impaired neutrophil killing of staphylococci,HP:0005512,PT
C0272027,Pyridoxine-responsive sideroblastic anemia,HP:0005522,PT
C4021635,Red blood cell keratocytosis,HP:0005540,PT
C0151563,Prolonged whole-blood clotting time,HP:0005542,PT
C0027022,Myeloproliferative disorder,HP:0005547,PT
C0023434,Chronic lymphatic leukemia,HP:0005550,PT
C4025180,Abnormality of the metopic suture,HP:0005556,PT
C2673888,Decreased numbers of nephrons,HP:0005563,PT
C1849765,Absence of renal corticomedullary differentiation,HP:0005564,PT
C4025174,Large cafe-au-lait macules with irregular margins,HP:0005605,PT
C0545053,Accelerated skeletal maturation,HP:0005616,PT
C4025170,Osteoporosis of vertebrae,HP:0005625,PT
C4025168,Decreased anterioposterior diameter of lumbar vertebral bodies,HP:0005638,PT
C0152491,Salmonella osteomyelitis,HP:0005661,PT
C2919848,Os odontoideum,HP:0005667,PT
C4025155,Talocalcaneal synostosis,HP:0005682,PT
C3887487,Postaxial polydactyly type A,HP:0005696,PT
C4021626,Lethal skeletal dysplasia,HP:0005716,PT
C4025148,Hyperextensible thumb,HP:0005722,PT
C4025145,Cortical irregularity,HP:0005731,PT
C4551802,Basilar impression,HP:0005758,PT
C4025138,Multiple skeletal anomalies,HP:0005775,PT
C1859698,Contractures of the large joints,HP:0005781,PT
C4025135,Abnormal cervical myelogram,HP:0005788,PT
C4025132,Shortening of all distal phalanges of the toes,HP:0005793,PT
C4315392,Type E brachydactyly,HP:0005863,PT
C0265290,Metaphyseal chondrodysplasia,HP:0005871,PT
C1393871,Congenital finger flexion contractures,HP:0005879,PT
C4025109,Abnormal hand morphology,HP:0005922,PT
C0238378,Desquamative interstitial pneumonitis,HP:0005942,PT
C4021610,Bilateral lung agenesis,HP:0005944,PT
C4025097,Ventilator dependence with inability to wean,HP:0005946,PT
C3807980,Apneic episodes in infancy,HP:0005949,PT
C0340548,Pulmonary capillary hemangiomatosis,HP:0005954,PT
C3279336,Impaired gluconeogenesis,HP:0005959,PT
C4025095,Hypoargininemia,HP:0005961,PT
C0016751,Fructose intolerance,HP:0005973,PT
C1865880,Hyperkalemic metabolic acidosis,HP:0005976,PT
C0011860,Type II diabetes mellitus,HP:0005978,PT
C1847392,Limitation of neck motion,HP:0005986,PT
C1849740,Short pointed phalanges,HP:0006045,PT
C1856742,Malaligned carpal bone,HP:0006092,PT
C4021608,Shortening of all distal phalanges of the fingers,HP:0006118,PT
C1865035,Enlarged metacarpal epiphyses,HP:0006134,PT
C4025089,Shortening of all proximal phalanges of the fingers,HP:0006144,PT
C1850855,Increased laxity of fingers,HP:0006149,PT
C1866000,Prominent interdigital folds,HP:0006189,PT
C4025081,Irregular phalanges,HP:0006205,PT
C1844519,Partial fusion of carpals,HP:0006207,PT
C4025079,Thin proximal phalanges with broad epiphyses of the hand,HP:0006213,PT
C4025078,Tapering pointed ends of distal finger phalanges,HP:0006224,PT
C3805861,Unilateral oligodactyly,HP:0006230,PT
C4025075,Abnormality of carpal bone ossification,HP:0006257,PT
C1848904,Multiple non-erupting secondary teeth,HP:0006321,PT
C4025064,Buried teeth encased in mucopolysaccharide,HP:0006326,PT
C1848905,Alveolar process hypoplasia,HP:0006329,PT
C1857505,Club-shaped distal femur,HP:0006384,PT
C1859462,Absent knee epiphyses,HP:0006400,PT
C4025049,Distal tapering femur,HP:0006408,PT
C1969396,Asymmetric radial dysplasia,HP:0006420,PT
C1859478,Hypoplasia of proximal fibula,HP:0006442,PT
C1834345,Periosteal thickening of long tubular bones,HP:0006465,PT
C1850644,Anterior bowing of long bones,HP:0006473,PT
C4021596,Abnormality of primary teeth,HP:0006481,PT
C1290508,Abnormal number of teeth,HP:0006483,PT
C4025040,Abnormality of the femoral metaphysis,HP:0006489,PT
C4025037,Aplasia/hypoplasia involving bones of the lower limbs,HP:0006493,PT
C1865571,Aplasia/Hypoplasia of the ulna,HP:0006495,PT
C4025034,Abnormality of femoral epiphysis,HP:0006499,PT
C4025031,Aplasia/hypoplasia of the humerus,HP:0006507,PT
C4551676,Laryngeal stridor,HP:0006511,PT
C3806786,Tracheobronchial leiomyomatosis,HP:0006524,PT
C4025023,Extrapulmonary sequestrum,HP:0006544,PT
C3805083,Portal fibrosis,HP:0006580,PT
C1866729,Medial widening of clavicles,HP:0006599,PT
C1865833,"Flared, irregular rib ends",HP:0006603,PT
C4025012,Prominent floating ribs,HP:0006641,PT
C1834386,Hypoplasia of first ribs,HP:0006657,PT
C1096561,Myocardial calcification,HP:0006690,PT
C4024999,Early progressive calcific cardiac valvular disease,HP:0006694,PT
C1389016,Atrioventricular canal defect,HP:0006695,PT
C3150086,Aplasia/Hypoplasia of the nipples,HP:0006709,PT
C1866555,Glomus tympanicum paraganglioma,HP:0006715,PT
C3489398,Peripheral neuroepithelioma,HP:0006717,PT
C0023462,Acute megakaryocytic leukemia,HP:0006733,PT
C4024986,Congenital neuroblastoma,HP:0006742,PT
C0038356,Neoplasm of the stomach,HP:0006753,PT
C4024982,Anal canal squamous carcinoma,HP:0006763,PT
C1306837,Papillary renal cell carcinoma,HP:0006766,PT
C4024981,Localized neuroblastoma,HP:0006768,PT
C1851585,Malignant eosinophil proliferation,HP:0006782,PT
C1848389,Posterior pharyngeal cleft,HP:0006783,PT
